epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,gap,lr_layer4,lr_head
1,0.4611459837776095,0.8303005156777903,0.37337615282209086,0.8962655601659751,0.8960356460169525,0.8959303973090738,-0.06596504448818485,0.0001,0.0005
2,0.4011258291940981,0.874340584434829,0.3646051821042558,0.9037344398340249,0.9032530454042083,0.9023775613849143,-0.029393855399195923,0.0001,0.0005
3,0.3844376954980202,0.8882105387943809,0.34094302931267195,0.9136929460580913,0.9135688108377851,0.9137938489960549,-0.025482407263710316,0.0001,0.0005
4,0.3701162586624243,0.8968051686325648,0.338815376620075,0.9236514522821577,0.9235941488804469,0.9242348966613673,-0.02684628364959296,0.0001,0.0005
5,0.3587176563507166,0.9033845059569676,0.3502850792714669,0.9120331950207469,0.9115651167284763,0.9105948779662014,-0.008648689063779247,0.0001,0.0005
6,0.34627044188178546,0.9112678560844052,0.34375038308556477,0.9131396957123098,0.9129713353058941,0.9129713353058941,-0.0018718396279046035,5e-05,0.00025
7,0.3283826554862375,0.9238930709501512,0.33753557541558354,0.9225449515905948,0.9224691960204224,0.9229555842607313,0.0013481193595563656,5e-05,0.00025
8,0.31986408914338854,0.9298796751822654,0.3473972507779529,0.9217150760719225,0.9215248124483327,0.9213317177471589,0.008164599110342952,2.5e-05,0.000125
